,commercial_commercial,commercial_resident,commercial_industrial,commercial_public,commercial_transport,commercial_other,resident_commercial,resident_resident,resident_industrial,resident_public,resident_transport,resident_other,industrial_commercial,industrial_resident,industrial_industrial,industrial_public,industrial_transport,industrial_other,public_commercial,public_resident,public_industrial,public_public,public_transport,public_other,transport_commercial,transport_resident,transport_industrial,transport_public,transport_transport,transport_other,other_commercial,other_resident,other_industrial,other_public,other_transport,other_other
public_commercial,0.15219365420902575,0.15044971048303935,0.17668416079096735,0.2002969148603611,0.18623673539589847,0.134138824260708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_resident,0.0,0.0,0.0,0.0,0.0,0.0,0.18783461059837858,0.15398297916303763,0.1510182173331011,0.15971697232256485,0.19129947910007514,0.1561477414828427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14190744012910886,0.15026628620991545,0.17536614512234655,0.1922864425551532,0.17461778294469069,0.16555590303878537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18827136311807008,0.14002446407276423,0.1566898815261252,0.21660285458507467,0.15373789989533548,0.14467353680263043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public_transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1491166373556186,0.19231196869273812,0.18099785729946355,0.19005912788381474,0.13210722603342165,0.15540718273494333,0.0,0.0,0.0,0.0,0.0,0.0
public_other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16191530194050985,0.16178299872291257,0.13602021639358122,0.1934779233824358,0.16404348624334575,0.18276007331721467
transport_commercial,0.17138124305243008,0.15033399126930935,0.14332114069971846,0.1810974823299264,0.2156834181547243,0.13818272449389146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_resident,0.0,0.0,0.0,0.0,0.0,0.0,0.16504606233956187,0.1686898992220593,0.16357399966486147,0.1549253121232932,0.2010139225493357,0.1467508041008884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14092659292247908,0.15358136835325717,0.13487713174369936,0.14603198538611106,0.22982914697284257,0.19475377462161098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14792194712547999,0.1585939702328311,0.1809706305506719,0.1625988987007768,0.17415248424768814,0.17576206914255213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transport_transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1835615183742404,0.1684414935583251,0.1455235541495124,0.16557058659450785,0.16557705473544077,0.1713257925879733,0.0,0.0,0.0,0.0,0.0,0.0
transport_other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17632124499588267,0.15267084951769963,0.1968336138809933,0.15176056131952292,0.17859241780810417,0.1438213124777973
other_commercial,0.15626537100960586,0.17542666506667087,0.13429817723941515,0.1799087086236757,0.18271064884507054,0.17139042921556183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_resident,0.0,0.0,0.0,0.0,0.0,0.0,0.16034498520439264,0.1792207296277773,0.1821046014669043,0.1829396645460813,0.136914866504973,0.1584751526498715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1527183224785839,0.16713879301918697,0.13983296415260754,0.14334812137831462,0.1971787927500716,0.19978300622123527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16702837917884727,0.143430745169209,0.14219459188912908,0.1896675887547775,0.16359606563610327,0.1940826293719339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other_transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16177516996139096,0.15892607195108333,0.14223177071860096,0.17940388290605871,0.15426578063647026,0.20339732382639572,0.0,0.0,0.0,0.0,0.0,0.0
other_other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17451880809472045,0.134849336793741,0.15640470041637414,0.16342434717152995,0.1823330320256675,0.188469775497967
